文件名,特征,特征面数,打标签数量,准确率(%)
GFR_02182 , contact ,19,19,100.0
GFR_02192 , rib ,19,19,100.0
GFR_02192 , contact ,55,55,100.0
GFR_02192 , clip ,113,113,100.0
GFR_02191 , clip ,70,70,100.0
GFR_02190 , rib ,65,65,100.0
GFR_02189 , rib ,71,71,100.0
GFR_02189 , clip ,73,73,100.0
GFR_02187 , rib ,31,31,100.0
GFR_02187 , clip ,237,237,100.0
GFR_02186 , rib ,30,30,100.0
GFR_02186 , clip ,237,237,100.0
GFR_02185 , clip ,32,32,100.0
GFR_02183 , clip ,97,97,100.0
GFR_02183 , contact ,19,19,100.0
GFR_02183 , rib ,31,31,100.0
GFR_02168 , rib ,8,8,100.0
GFR_02167 , contact ,139,139,100.0
GFR_02167 , boss ,98,98,100.0
GFR_02144 , contact ,26,26,100.0
GFR_02139 , clip ,114,114,100.0
GFR_02139 , contact ,194,194,100.0
GFR_02137 , rib ,17,17,100.0
GFR_02137 , clip ,17,17,100.0
GFR_02137 , contact ,14,14,100.0
GFR_02137 , clip ,17,17,100.0
GFR_02137 , contact ,14,14,100.0
GFR_02137 , rib ,17,17,100.0
GFR_02135 , clip ,38,38,100.0
GFR_02135 , rib ,28,28,100.0
GFR_02133 , rib ,77,77,100.0
GFR_02133 , clip ,19,19,100.0
GFR_02132 , contact ,199,199,100.0
GFR_02131 , boss ,10,10,100.0
GFR_02130 , contact ,203,203,100.0
GFR_02140 , boss ,5,5,100.0
GFR_02145 , rib ,450,450,100.0
GFR_02166 , clip ,36,36,100.0
GFR_02145 , contact ,144,144,100.0
GFR_02165 , clip ,36,36,100.0
GFR_02164 , clip ,48,48,100.0
GFR_02163 , rib ,233,233,100.0
GFR_02160 , boss ,376,376,100.0
GFR_02159 , contact ,23,23,100.0
GFR_02158 , rib ,6,6,100.0
GFR_02157 , boss ,366,366,100.0
GFR_02154 , contact ,102,102,100.0
GFR_02153 , contact ,104,104,100.0
GFR_02150 , contact ,15,15,100.0
GFR_02149 , boss ,362,362,100.0
GFR_02149 , contact ,98,98,100.0
GFR_02147 , clip ,54,54,100.0
GFR_02147 , rib ,241,241,100.0
GFR_02145 , clip ,136,136,100.0
GFR_02059 , clip ,66,66,100.0
GFR_02058 , rib ,52,52,100.0
GFR_02058 , contact ,193,193,100.0
GFR_01971 , clip ,124,124,100.0
GFR_01983 , contact ,212,212,100.0
GFR_01978 , contact ,141,141,100.0
GFR_01978 , rib ,280,280,100.0
GFR_01976 , rib ,26,26,100.0
GFR_01976 , contact ,84,84,100.0
GFR_01973 , boss ,120,120,100.0
GFR_01972 , boss ,117,117,100.0
GFR_01971 , contact ,130,130,100.0
GFR_02006 , clip ,169,169,100.0
GFR_01971 , rib ,870,870,100.0
GFR_01970 , clip ,124,124,100.0
GFR_01970 , contact ,132,132,100.0
GFR_01967 , boss ,206,206,100.0
GFR_01965 , boss ,94,94,100.0
GFR_01965 , rib ,12,12,100.0
GFR_01965 , contact ,41,41,100.0
GFR_01985 , boss ,84,84,100.0
GFR_01985 , rib ,72,72,100.0
GFR_01988 , boss ,12,12,100.0
GFR_01989 , rib ,33,33,100.0
GFR_02005 , clip ,30,30,100.0
GFR_02005 , boss ,6,6,100.0
